name,party,votes,constituency
Biraj Bhakta Shrestha,Rastriya Swatantra Party,10105,8
Suman Sayami,Hamro Nepali Party,5889,8
Jeewan Ram Shrestha,CPN (Unified Socialist),4877,8
Prakash Rimal,Rastriya Prajatantra Party,4225,8
Shiv Sundar Rajabhaidha,CPN UML,3522,8
Manoj Kumar Khadka,Janata Samajwadi Party,360,8
Krishna Maya Manandar,Nepal Workers and Peasants Party,194,8
Rajendra Thapa,Rastriya Prajatantra Party Nepal,89,8
Santa Bahadur Shakya,Janamat Party,76,8
Dipak Prasad Khanal,Independent,51,8
Suman Kumar Balami,Sachet Nepali Party,40,8
Ramesh Kumar Dangol,Rastriya Janamukti Party,39,8
Chatra Kumar Pakahin,Aamul Pariwartan Mashika Party,35,8
Santosh Deula,Loktantrik Samajwadi Party,30,8
Durga Devi Maharjan,Independent,24,8
Resham Bahadur Sunar,Nepali Janata Dal,22,8
Rekh Kumar Gurung,Janata Pragatisheel Party,16,8
Hemraj Baral,Independent,11,8
Bijaya Dangol,Nepal Sanghiya Samajwadi Party,10,8
