name,party,votes,constituency
Bhim Bahadur Magar,Janata Samajwadi Party,131,5
Sagar Khadka,Nepalka lagi Nepali Party,110,5
Gopilal Neupane,Independent,93,5
Tik Maya Gurung,Nepal Communist Party Maxist (Puspalal),84,5
Shailendra Basnet,Independent,82,5
Dipak Kumar Sharma,Nepalwad,68,5
Raju Bista,Janasamajwadi Party Nepal,48,5
Dipak Singh,Ekikrit Shakti Nepal,39,5
Ram Krishna Pariyar,Maulik Jarokilo Party,38,5
Danindra Joshi,Loktantrik Samajwadi Party,37,5
Lovely Thapa,Nationalist Peoples Party,29,5
Binita Aryal,Independent,24,5
Santiram Pandey,Independent,20,5
Babu Ram Pokheral,Independent,12,5
Kumar Koirala,Independent,5,5
Krishna Raj Shrestha,Independent,4,5
Narayan Prasad Dahal,Independent,4,5
Shishir Khanal,Rastriya Swatantra Party,14204,6
Shabendra Khanal,CPN UML,8911,6
Bhemsen Das Pradhan,Nepali Congress,8805,6
Bishnu Prasad Acharya,Rastriya Prajatantra Party,2185,6
Sanjay Man Shrestha,Independent,577,6
Sanak Man Maharjan,Nepal Workers and Peasants Party,575,6
Mukunda Silwal,Hamro Nepali Party,544,6
Premasagar Karmacharya,Independent,517,6
Manoj Acharya,Janata Samajwadi Party,183,6
Mahehwor Karki,Rastriya Prajatantra Party Nepal,149,6
Nirdesh Silwal,Independent,127,6
Dipu Upreti,Independent,123,6
Bal Bahadur K.C,Independent,111,6
Rajendra Khanal,Nepal Aama Party,67,6
Ajit Khadka,Bibeksheel Sajha Party,63,6
Tara Rasayili,Rastriya Janamukti Party,41,6
Kamal Neupane,Maulik Jarokilo Party,35,6
Bishnu Prasad Dhakal,Independent,33,6
Kaji Karki,Ekikrit Shakti Nepal,31,6
Khagendra Dhakal,Independent,18,6
Sanu Kancha Maharjan,Independent,15,6
Mahesh Shrestha (Maskey),Independent,14,6
Kiran Ingnam,Independent,12,6
Janak Raj Thapaliya,Independent,3,6
Ganesh Parajuli,Rastriya Swatantra Party,8743,7
Shyam Kumar Ghimire,CPN UML,6800,7
Ashmita Singh (Manusi) Yami Bhattarai,CPN Maoist,6063,7
Dhub Bikram Malla,Rastriya Prajatantra Party,2863,7
Yadvya Lal Kayasya,Independent,2782,7
Rajendra Prasad Shrestha,Janata Samajwadi Party,2461,7
Kiran K.C,Independent,1570,7
Prabendra Pokheral,Hamro Nepali Party,1510,7
Ram Bir Manandar,Independent,1215,7
Rabindra Kumar Shrestha,Independent,828,7
Kiran Maharjan,Nepal Workers and Peasants Party,248,7
